date,food_cpi
2019-01-01,131.01
2019-02-01,131.15
2019-03-01,130.56
2019-04-01,130.23
2019-05-01,130.66
2019-06-01,130.73
2019-07-01,131.11
2019-08-01,131.41
2019-09-01,131.15
2019-10-01,131.12
2019-11-01,131.14
2019-12-01,131.64
2020-01-01,131.94
2020-02-01,131.98
2020-03-01,131.9
2020-04-01,131.81
2020-05-01,132.16
2020-06-01,132.79
2020-07-01,132.8
2020-08-01,132.93
2020-09-01,132.78
2020-10-01,132.93
2020-11-01,132.75
2020-12-01,133.56
2021-01-01,133.97
2021-02-01,133.81
2021-03-01,133.83
2021-04-01,134.2
2021-05-01,133.96
2021-06-01,134.28
2021-07-01,134.32
2021-08-01,134.48
2021-09-01,135.41
2021-10-01,135.61
2021-11-01,136.35
2021-12-01,137.68
2022-01-01,138.39
2022-02-01,138.74
2022-03-01,139.05
2022-04-01,139.45
2022-05-01,140.56
2022-06-01,142.0
2022-07-01,142.88
2022-08-01,143.09
2022-09-01,143.56
2022-10-01,144.33
2022-11-01,145.36
2022-12-01,146.06
2023-01-01,146.88
2023-02-01,147.45
2023-03-01,147.64
2023-04-01,147.48
2023-05-01,148.08
2023-06-01,148.32
2023-07-01,148.76
2023-08-01,148.91
2023-09-01,149.06
2023-10-01,149.24
2023-11-01,148.79
2023-12-01,149.31
2024-01-01,149.82
2024-02-01,149.99
2024-03-01,149.87
2024-04-01,149.91
2024-05-01,150.26
2024-06-01,150.73
2024-07-01,150.76
2024-08-01,150.76
2024-09-01,150.77
2024-10-01,151.97
2024-11-01,152.01
2024-12-01,152.62
2025-01-01,152.99
2025-02-01,153.24
2025-03-01,153.41
2025-04-01,153.23
2025-05-01,153.31
2025-06-01,153.54
2025-07-01,153.52
2025-08-01,153.61
2025-09-01,153.94
2025-10-01,154.19
2025-11-01,154.25
2025-12-01,155.04
2026-01-01,155.24
2026-02-01,155.18
2026-03-01,155.08
