date,state,food_cpi
2019-01-01,Johor,138.9
2019-02-01,Johor,139.1
2019-03-01,Johor,138.1
2019-04-01,Johor,137.8
2019-05-01,Johor,138.8
2019-06-01,Johor,138.9
2019-07-01,Johor,139.5
2019-08-01,Johor,139.3
2019-09-01,Johor,139.3
2019-10-01,Johor,139.6
2019-11-01,Johor,139.2
2019-12-01,Johor,140.4
2020-01-01,Johor,140.7
2020-02-01,Johor,140.9
2020-03-01,Johor,140.6
2020-04-01,Johor,140.2
2020-05-01,Johor,140.6
2020-06-01,Johor,141.7
2020-07-01,Johor,141.7
2020-08-01,Johor,141.6
2020-09-01,Johor,141.4
2020-10-01,Johor,141.5
2020-11-01,Johor,141.6
2020-12-01,Johor,141.8
2021-01-01,Johor,142.3
2021-02-01,Johor,142.6
2021-03-01,Johor,142.6
2021-04-01,Johor,143.2
2021-05-01,Johor,142.8
2021-06-01,Johor,143.3
2021-07-01,Johor,143.2
2021-08-01,Johor,143.2
2021-09-01,Johor,144.5
2021-10-01,Johor,144.6
2021-11-01,Johor,145.6
2021-12-01,Johor,147.1
2022-01-01,Johor,148.0
2022-02-01,Johor,147.9
2022-03-01,Johor,148.6
2022-04-01,Johor,149.2
2022-05-01,Johor,151.3
2022-06-01,Johor,153.7
2022-07-01,Johor,154.2
2022-08-01,Johor,154.4
2022-09-01,Johor,154.8
2022-10-01,Johor,155.1
2022-11-01,Johor,156.6
2022-12-01,Johor,157.2
2023-01-01,Johor,158.0
2023-02-01,Johor,159.0
2023-03-01,Johor,158.9
2023-04-01,Johor,158.3
2023-05-01,Johor,159.0
2023-06-01,Johor,159.0
2023-07-01,Johor,159.5
2023-08-01,Johor,159.6
2023-09-01,Johor,159.7
2023-10-01,Johor,159.7
2023-11-01,Johor,159.2
2023-12-01,Johor,160.1
2024-01-01,Johor,160.9
2024-02-01,Johor,161.0
2024-03-01,Johor,160.7
2024-04-01,Johor,160.3
2024-05-01,Johor,161.0
2024-06-01,Johor,161.8
2024-07-01,Johor,161.5
2024-08-01,Johor,161.7
2024-09-01,Johor,162.0
2024-10-01,Johor,163.6
2024-11-01,Johor,163.8
2024-12-01,Johor,164.9
2025-01-01,Johor,165.1
2025-02-01,Johor,165.6
2025-03-01,Johor,165.3
2025-04-01,Johor,165.1
2025-05-01,Johor,164.8
2025-06-01,Johor,165.3
2025-07-01,Johor,164.9
2025-08-01,Johor,165.4
2025-09-01,Johor,165.5
2025-10-01,Johor,166.7
2025-11-01,Johor,167.0
2025-12-01,Johor,168.7
2026-01-01,Johor,169.2
2026-02-01,Johor,169.1
2026-03-01,Johor,168.5
2019-01-01,Kedah,128.7
2019-02-01,Kedah,128.9
2019-03-01,Kedah,128.6
2019-04-01,Kedah,128.1
2019-05-01,Kedah,128.3
2019-06-01,Kedah,128.5
2019-07-01,Kedah,128.6
2019-08-01,Kedah,129.3
2019-09-01,Kedah,129.1
2019-10-01,Kedah,129.1
2019-11-01,Kedah,129.0
2019-12-01,Kedah,129.2
2020-01-01,Kedah,129.3
2020-02-01,Kedah,129.3
2020-03-01,Kedah,129.3
2020-04-01,Kedah,128.7
2020-05-01,Kedah,129.5
2020-06-01,Kedah,130.1
2020-07-01,Kedah,130.1
2020-08-01,Kedah,130.0
2020-09-01,Kedah,129.8
2020-10-01,Kedah,129.8
2020-11-01,Kedah,129.8
2020-12-01,Kedah,130.1
2021-01-01,Kedah,130.3
2021-02-01,Kedah,130.3
2021-03-01,Kedah,130.3
2021-04-01,Kedah,130.9
2021-05-01,Kedah,130.9
2021-06-01,Kedah,130.9
2021-07-01,Kedah,130.9
2021-08-01,Kedah,131.1
2021-09-01,Kedah,131.5
2021-10-01,Kedah,131.7
2021-11-01,Kedah,132.5
2021-12-01,Kedah,133.9
2022-01-01,Kedah,134.2
2022-02-01,Kedah,134.4
2022-03-01,Kedah,134.6
2022-04-01,Kedah,134.8
2022-05-01,Kedah,135.4
2022-06-01,Kedah,136.1
2022-07-01,Kedah,136.6
2022-08-01,Kedah,136.6
2022-09-01,Kedah,136.8
2022-10-01,Kedah,137.3
2022-11-01,Kedah,138.0
2022-12-01,Kedah,138.4
2023-01-01,Kedah,139.1
2023-02-01,Kedah,139.4
2023-03-01,Kedah,139.5
2023-04-01,Kedah,139.3
2023-05-01,Kedah,139.8
2023-06-01,Kedah,140.2
2023-07-01,Kedah,140.4
2023-08-01,Kedah,140.3
2023-09-01,Kedah,140.4
2023-10-01,Kedah,140.5
2023-11-01,Kedah,140.5
2023-12-01,Kedah,140.9
2024-01-01,Kedah,141.4
2024-02-01,Kedah,140.6
2024-03-01,Kedah,140.6
2024-04-01,Kedah,140.2
2024-05-01,Kedah,140.7
2024-06-01,Kedah,140.9
2024-07-01,Kedah,140.6
2024-08-01,Kedah,140.7
2024-09-01,Kedah,140.6
2024-10-01,Kedah,141.6
2024-11-01,Kedah,141.7
2024-12-01,Kedah,141.8
2025-01-01,Kedah,141.9
2025-02-01,Kedah,141.8
2025-03-01,Kedah,141.7
2025-04-01,Kedah,141.9
2025-05-01,Kedah,141.7
2025-06-01,Kedah,142.1
2025-07-01,Kedah,141.8
2025-08-01,Kedah,141.8
2025-09-01,Kedah,142.3
2025-10-01,Kedah,142.5
2025-11-01,Kedah,142.6
2025-12-01,Kedah,143.7
2026-01-01,Kedah,143.9
2026-02-01,Kedah,144.0
2026-03-01,Kedah,143.7
2019-01-01,Kelantan,131.5
