date,state,label,category,avg_price
2022-01-01,Johor,Beef Local (Part 1),Beef,36.679
2022-01-01,Johor,Chicken (Standard),Chicken,8.782
2022-01-01,Johor,Egg Grade A (10),Eggs,0.431
2022-01-01,Johor,Ikan Kembung (small),Fish,13.659
2022-01-01,Johor,Kangkung,Vegetables,5.748
2022-01-01,Kedah,Beef Local (Part 1),Beef,37.457
2022-01-01,Kedah,Chicken (Standard),Chicken,8.863
2022-01-01,Kedah,Egg Grade A (10),Eggs,0.43
2022-01-01,Kedah,Ikan Kembung (small),Fish,12.0
2022-01-01,Kedah,Kangkung,Vegetables,4.787
2022-01-01,Kelantan,Beef Local (Part 1),Beef,33.027
2022-01-01,Kelantan,Chicken (Standard),Chicken,8.773
2022-01-01,Kelantan,Egg Grade A (10),Eggs,0.43
2022-01-01,Kelantan,Ikan Kembung (small),Fish,12.157
2022-01-01,Kelantan,Kangkung,Vegetables,7.129
2022-01-01,Melaka,Beef Local (Part 1),Beef,36.122
2022-01-01,Melaka,Chicken (Standard),Chicken,8.718
2022-01-01,Melaka,Egg Grade A (10),Eggs,0.43
2022-01-01,Melaka,Ikan Kembung (small),Fish,14.546
2022-01-01,Melaka,Kangkung,Vegetables,5.043
2022-01-01,Negeri Sembilan,Beef Local (Part 1),Beef,36.483
2022-01-01,Negeri Sembilan,Chicken (Standard),Chicken,8.68
2022-01-01,Negeri Sembilan,Egg Grade A (10),Eggs,0.429
2022-01-01,Negeri Sembilan,Ikan Kembung (small),Fish,14.294
2022-01-01,Negeri Sembilan,Kangkung,Vegetables,5.175
2022-01-01,Pahang,Beef Local (Part 1),Beef,34.102
2022-01-01,Pahang,Chicken (Standard),Chicken,8.755
2022-01-01,Pahang,Egg Grade A (10),Eggs,0.43
2022-01-01,Pahang,Ikan Kembung (small),Fish,14.731
2022-01-01,Pahang,Kangkung,Vegetables,5.896
2022-01-01,Perak,Beef Local (Part 1),Beef,34.548
2022-01-01,Perak,Chicken (Standard),Chicken,8.822
2022-01-01,Perak,Egg Grade A (10),Eggs,0.431
2022-01-01,Perak,Ikan Kembung (small),Fish,12.224
2022-01-01,Perak,Kangkung,Vegetables,4.595
2022-01-01,Perlis,Beef Local (Part 1),Beef,38.0
2022-01-01,Perlis,Chicken (Standard),Chicken,8.752
2022-01-01,Perlis,Egg Grade A (10),Eggs,0.43
2022-01-01,Perlis,Ikan Kembung (small),Fish,12.935
2022-01-01,Perlis,Kangkung,Vegetables,6.488
2022-01-01,Pulau Pinang,Beef Local (Part 1),Beef,39.908
2022-01-01,Pulau Pinang,Chicken (Standard),Chicken,8.873
2022-01-01,Pulau Pinang,Egg Grade A (10),Eggs,0.43
2022-01-01,Pulau Pinang,Ikan Kembung (small),Fish,10.587
2022-01-01,Pulau Pinang,Kangkung,Vegetables,4.425
2022-01-01,Sabah,Beef Local (Part 1),Beef,30.135
2022-01-01,Sabah,Chicken (Standard),Chicken,10.717
2022-01-01,Sabah,Egg Grade A (10),Eggs,0.493
2022-01-01,Sabah,Ikan Kembung (small),Fish,9.141
2022-01-01,Sabah,Kangkung,Vegetables,5.239
2022-01-01,Sarawak,Beef Local (Part 1),Beef,60.507
2022-01-01,Sarawak,Chicken (Standard),Chicken,9.248
2022-01-01,Sarawak,Egg Grade A (10),Eggs,0.444
2022-01-01,Sarawak,Ikan Kembung (small),Fish,11.253
2022-01-01,Sarawak,Kangkung,Vegetables,5.513
2022-01-01,Selangor,Beef Local (Part 1),Beef,38.788
2022-01-01,Selangor,Chicken (Standard),Chicken,8.795
2022-01-01,Selangor,Egg Grade A (10),Eggs,0.43
2022-01-01,Selangor,Ikan Kembung (small),Fish,14.595
2022-01-01,Selangor,Kangkung,Vegetables,5.414
2022-01-01,Terengganu,Beef Local (Part 1),Beef,33.789
2022-01-01,Terengganu,Chicken (Standard),Chicken,8.836
2022-01-01,Terengganu,Egg Grade A (10),Eggs,0.429
2022-01-01,Terengganu,Ikan Kembung (small),Fish,12.642
2022-01-01,Terengganu,Kangkung,Vegetables,6.871
2022-01-01,W.P. Kuala Lumpur,Beef Local (Part 1),Beef,46.971
2022-01-01,W.P. Kuala Lumpur,Chicken (Standard),Chicken,8.845
2022-01-01,W.P. Kuala Lumpur,Egg Grade A (10),Eggs,0.43
2022-01-01,W.P. Kuala Lumpur,Ikan Kembung (small),Fish,15.206
2022-01-01,W.P. Kuala Lumpur,Kangkung,Vegetables,6.102
2022-01-01,W.P. Labuan,Chicken (Standard),Chicken,10.979
2022-01-01,W.P. Labuan,Egg Grade A (10),Eggs,0.49
2022-01-01,W.P. Labuan,Ikan Kembung (small),Fish,11.9
2022-01-01,W.P. Labuan,Kangkung,Vegetables,4.477
2022-01-01,W.P. Putrajaya,Beef Local (Part 1),Beef,38.035
2022-01-01,W.P. Putrajaya,Chicken (Standard),Chicken,8.787
2022-01-01,W.P. Putrajaya,Egg Grade A (10),Eggs,0.43
2022-01-01,W.P. Putrajaya,Ikan Kembung (small),Fish,15.358
2022-01-01,W.P. Putrajaya,Kangkung,Vegetables,5.874
2022-06-01,Johor,Beef Local (Part 1),Beef,37.413
2022-06-01,Johor,Chicken (Standard),Chicken,8.836
2022-06-01,Johor,Egg Grade A (10),Eggs,0.432
2022-06-01,Johor,Ikan Kembung (small),Fish,13.496
2022-06-01,Johor,Kangkung,Vegetables,5.555
2022-06-01,Kedah,Beef Local (Part 1),Beef,39.188
2022-06-01,Kedah,Chicken (Standard),Chicken,8.753
2022-06-01,Kedah,Egg Grade A (10),Eggs,0.43
2022-06-01,Kedah,Ikan Kembung (small),Fish,12.073
2022-06-01,Kedah,Kangkung,Vegetables,4.858
2022-06-01,Kelantan,Beef Local (Part 1),Beef,33.295
2022-06-01,Kelantan,Chicken (Standard),Chicken,8.907
2022-06-01,Kelantan,Egg Grade A (10),Eggs,0.424
2022-06-01,Kelantan,Ikan Kembung (small),Fish,11.93
2022-06-01,Kelantan,Kangkung,Vegetables,6.638
2022-06-01,Melaka,Beef Local (Part 1),Beef,39.247
2022-06-01,Melaka,Chicken (Standard),Chicken,8.816
2022-06-01,Melaka,Egg Grade A (10),Eggs,0.426
2022-06-01,Melaka,Ikan Kembung (small),Fish,14.368
2022-06-01,Melaka,Kangkung,Vegetables,4.437
2022-06-01,Negeri Sembilan,Beef Local (Part 1),Beef,38.792
2022-06-01,Negeri Sembilan,Chicken (Standard),Chicken,8.777
2022-06-01,Negeri Sembilan,Egg Grade A (10),Eggs,0.429
2022-06-01,Negeri Sembilan,Ikan Kembung (small),Fish,13.614
2022-06-01,Negeri Sembilan,Kangkung,Vegetables,5.082
2022-06-01,Pahang,Beef Local (Part 1),Beef,37.18
2022-06-01,Pahang,Chicken (Standard),Chicken,8.897
2022-06-01,Pahang,Egg Grade A (10),Eggs,0.429
2022-06-01,Pahang,Ikan Kembung (small),Fish,14.671
2022-06-01,Pahang,Kangkung,Vegetables,4.673
2022-06-01,Perak,Beef Local (Part 1),Beef,36.838
2022-06-01,Perak,Chicken (Standard),Chicken,8.804
2022-06-01,Perak,Egg Grade A (10),Eggs,0.43
2022-06-01,Perak,Ikan Kembung (small),Fish,11.614
2022-06-01,Perak,Kangkung,Vegetables,4.816
2022-06-01,Perlis,Beef Local (Part 1),Beef,38.417
2022-06-01,Perlis,Chicken (Standard),Chicken,8.892
2022-06-01,Perlis,Egg Grade A (10),Eggs,0.43
2022-06-01,Perlis,Ikan Kembung (small),Fish,12.903
2022-06-01,Perlis,Kangkung,Vegetables,6.478
2022-06-01,Pulau Pinang,Beef Local (Part 1),Beef,40.355
2022-06-01,Pulau Pinang,Chicken (Standard),Chicken,8.765
2022-06-01,Pulau Pinang,Egg Grade A (10),Eggs,0.43
2022-06-01,Pulau Pinang,Ikan Kembung (small),Fish,10.871
2022-06-01,Pulau Pinang,Kangkung,Vegetables,4.624
2022-06-01,Sabah,Beef Local (Part 1),Beef,27.5
2022-06-01,Sabah,Chicken (Standard),Chicken,10.722
2022-06-01,Sabah,Egg Grade A (10),Eggs,0.497
2022-06-01,Sabah,Ikan Kembung (small),Fish,6.921
2022-06-01,Sabah,Kangkung,Vegetables,5.467
2022-06-01,Sarawak,Beef Local (Part 1),Beef,63.131
2022-06-01,Sarawak,Chicken (Standard),Chicken,9.459
2022-06-01,Sarawak,Egg Grade A (10),Eggs,0.885
2022-06-01,Sarawak,Ikan Kembung (small),Fish,10.243
2022-06-01,Sarawak,Kangkung,Vegetables,5.442
2022-06-01,Selangor,Beef Local (Part 1),Beef,39.367
2022-06-01,Selangor,Chicken (Standard),Chicken,8.928
2022-06-01,Selangor,Egg Grade A (10),Eggs,0.432
2022-06-01,Selangor,Ikan Kembung (small),Fish,13.848
2022-06-01,Selangor,Kangkung,Vegetables,4.894
2022-06-01,Terengganu,Beef Local (Part 1),Beef,35.748
2022-06-01,Terengganu,Chicken (Standard),Chicken,9.274
2022-06-01,Terengganu,Egg Grade A (10),Eggs,0.428
2022-06-01,Terengganu,Ikan Kembung (small),Fish,12.589
2022-06-01,Terengganu,Kangkung,Vegetables,6.421
2022-06-01,W.P. Kuala Lumpur,Beef Local (Part 1),Beef,50.923
2022-06-01,W.P. Kuala Lumpur,Chicken (Standard),Chicken,8.82
2022-06-01,W.P. Kuala Lumpur,Egg Grade A (10),Eggs,0.431
2022-06-01,W.P. Kuala Lumpur,Ikan Kembung (small),Fish,15.178
2022-06-01,W.P. Kuala Lumpur,Kangkung,Vegetables,5.119
2022-06-01,W.P. Labuan,Chicken (Standard),Chicken,10.8
2022-06-01,W.P. Labuan,Ikan Kembung (small),Fish,15.0
2022-06-01,W.P. Labuan,Kangkung,Vegetables,4.75
2022-06-01,W.P. Putrajaya,Beef Local (Part 1),Beef,41.765
2022-06-01,W.P. Putrajaya,Chicken (Standard),Chicken,8.723
2022-06-01,W.P. Putrajaya,Egg Grade A (10),Eggs,0.43
2022-06-01,W.P. Putrajaya,Ikan Kembung (small),Fish,15.941
2022-06-01,W.P. Putrajaya,Kangkung,Vegetables,5.503
2022-12-01,Johor,Beef Local (Part 1),Beef,39.841
2022-12-01,Johor,Chicken (Standard),Chicken,9.131
2022-12-01,Johor,Egg Grade A (10),Eggs,0.448
2022-12-01,Johor,Ikan Kembung (small),Fish,14.055
2022-12-01,Johor,Kangkung,Vegetables,6.574
2022-12-01,Kedah,Beef Local (Part 1),Beef,39.27
2022-12-01,Kedah,Chicken (Standard),Chicken,9.259
2022-12-01,Kedah,Egg Grade A (10),Eggs,0.45
2022-12-01,Kedah,Ikan Kembung (small),Fish,12.92
2022-12-01,Kedah,Kangkung,Vegetables,5.631
2022-12-01,Kelantan,Beef Local (Part 1),Beef,33.293
2022-12-01,Kelantan,Chicken (Standard),Chicken,9.2
2022-12-01,Kelantan,Egg Grade A (10),Eggs,0.45
2022-12-01,Kelantan,Ikan Kembung (small),Fish,12.188
2022-12-01,Kelantan,Kangkung,Vegetables,8.506
2022-12-01,Melaka,Beef Local (Part 1),Beef,39.024
2022-12-01,Melaka,Chicken (Standard),Chicken,9.183
2022-12-01,Melaka,Egg Grade A (10),Eggs,0.45
2022-12-01,Melaka,Ikan Kembung (small),Fish,14.898
2022-12-01,Melaka,Kangkung,Vegetables,5.641
2022-12-01,Negeri Sembilan,Beef Local (Part 1),Beef,39.856
2022-12-01,Negeri Sembilan,Chicken (Standard),Chicken,9.136
2022-12-01,Negeri Sembilan,Egg Grade A (10),Eggs,0.449
2022-12-01,Negeri Sembilan,Ikan Kembung (small),Fish,14.934
2022-12-01,Negeri Sembilan,Kangkung,Vegetables,5.679
2022-12-01,Pahang,Beef Local (Part 1),Beef,36.882
2022-12-01,Pahang,Chicken (Standard),Chicken,9.135
2022-12-01,Pahang,Egg Grade A (10),Eggs,0.449
2022-12-01,Pahang,Ikan Kembung (small),Fish,15.077
2022-12-01,Pahang,Kangkung,Vegetables,6.105
2022-12-01,Perak,Beef Local (Part 1),Beef,37.113
2022-12-01,Perak,Chicken (Standard),Chicken,9.197
2022-12-01,Perak,Egg Grade A (10),Eggs,0.45
2022-12-01,Perak,Ikan Kembung (small),Fish,12.986
2022-12-01,Perak,Kangkung,Vegetables,6.075
2022-12-01,Perlis,Beef Local (Part 1),Beef,38.674
2022-12-01,Perlis,Chicken (Standard),Chicken,9.137
2022-12-01,Perlis,Egg Grade A (10),Eggs,0.45
2022-12-01,Perlis,Ikan Kembung (small),Fish,13.645
2022-12-01,Perlis,Kangkung,Vegetables,6.91
2022-12-01,Pulau Pinang,Beef Local (Part 1),Beef,40.267
2022-12-01,Pulau Pinang,Chicken (Standard),Chicken,9.27
2022-12-01,Pulau Pinang,Egg Grade A (10),Eggs,0.45
2022-12-01,Pulau Pinang,Ikan Kembung (small),Fish,12.213
2022-12-01,Pulau Pinang,Kangkung,Vegetables,5.63
2022-12-01,Sabah,Beef Local (Part 1),Beef,32.51
2022-12-01,Sabah,Chicken (Standard),Chicken,11.324
2022-12-01,Sabah,Egg Grade A (10),Eggs,0.521
2022-12-01,Sabah,Ikan Kembung (small),Fish,6.643
2022-12-01,Sabah,Kangkung,Vegetables,5.569
2022-12-01,Sarawak,Beef Local (Part 1),Beef,66.175
2022-12-01,Sarawak,Chicken (Standard),Chicken,10.007
2022-12-01,Sarawak,Ikan Kembung (small),Fish,11.668
2022-12-01,Sarawak,Kangkung,Vegetables,5.605
2022-12-01,Selangor,Beef Local (Part 1),Beef,39.61
2022-12-01,Selangor,Chicken (Standard),Chicken,9.234
2022-12-01,Selangor,Egg Grade A (10),Eggs,0.45
2022-12-01,Selangor,Ikan Kembung (small),Fish,15.441
2022-12-01,Selangor,Kangkung,Vegetables,6.139
2022-12-01,Terengganu,Beef Local (Part 1),Beef,35.838
2022-12-01,Terengganu,Chicken (Standard),Chicken,9.307
2022-12-01,Terengganu,Egg Grade A (10),Eggs,0.45
2022-12-01,Terengganu,Ikan Kembung (small),Fish,13.283
2022-12-01,Terengganu,Kangkung,Vegetables,8.216
2022-12-01,W.P. Kuala Lumpur,Beef Local (Part 1),Beef,48.748
2022-12-01,W.P. Kuala Lumpur,Chicken (Standard),Chicken,9.237
2022-12-01,W.P. Kuala Lumpur,Egg Grade A (10),Eggs,0.45
2022-12-01,W.P. Kuala Lumpur,Ikan Kembung (small),Fish,15.787
2022-12-01,W.P. Kuala Lumpur,Kangkung,Vegetables,6.857
2022-12-01,W.P. Labuan,Chicken (Standard),Chicken,11.3
2022-12-01,W.P. Labuan,Ikan Kembung (small),Fish,10.9
2022-12-01,W.P. Labuan,Kangkung,Vegetables,4.0
2022-12-01,W.P. Putrajaya,Beef Local (Part 1),Beef,40.364
2022-12-01,W.P. Putrajaya,Chicken (Standard),Chicken,9.277
2022-12-01,W.P. Putrajaya,Egg Grade A (10),Eggs,0.862
2022-12-01,W.P. Putrajaya,Ikan Kembung (small),Fish,16.268
2022-12-01,W.P. Putrajaya,Kangkung,Vegetables,7.49
2023-01-01,Johor,Beef Local (Part 1),Beef,39.569
2023-01-01,Johor,Chicken (Standard),Chicken,9.007
2023-01-01,Johor,Egg Grade A (10),Eggs,0.449
2023-01-01,Johor,Ikan Kembung (small),Fish,14.108
2023-01-01,Johor,Kangkung,Vegetables,5.186
2023-01-01,Kedah,Beef Local (Part 1),Beef,39.23
2023-01-01,Kedah,Chicken (Standard),Chicken,9.124
2023-01-01,Kedah,Egg Grade A (10),Eggs,0.45
2023-01-01,Kedah,Ikan Kembung (small),Fish,12.18
2023-01-01,Kedah,Kangkung,Vegetables,5.11
2023-01-01,Kelantan,Beef Local (Part 1),Beef,33.282
2023-01-01,Kelantan,Chicken (Standard),Chicken,9.125
2023-01-01,Kelantan,Egg Grade A (10),Eggs,0.447
2023-01-01,Kelantan,Ikan Kembung (small),Fish,13.688
2023-01-01,Kelantan,Kangkung,Vegetables,8.901
2023-01-01,Melaka,Beef Local (Part 1),Beef,39.038
2023-01-01,Melaka,Chicken (Standard),Chicken,9.051
2023-01-01,Melaka,Egg Grade A (10),Eggs,0.45
2023-01-01,Melaka,Ikan Kembung (small),Fish,15.235
2023-01-01,Melaka,Kangkung,Vegetables,4.368
2023-01-01,Negeri Sembilan,Beef Local (Part 1),Beef,39.718
2023-01-01,Negeri Sembilan,Chicken (Standard),Chicken,8.958
2023-01-01,Negeri Sembilan,Egg Grade A (10),Eggs,0.449
2023-01-01,Negeri Sembilan,Ikan Kembung (small),Fish,15.187
2023-01-01,Negeri Sembilan,Kangkung,Vegetables,4.634
2023-01-01,Pahang,Beef Local (Part 1),Beef,36.565
2023-01-01,Pahang,Chicken (Standard),Chicken,9.06
2023-01-01,Pahang,Egg Grade A (10),Eggs,0.448
2023-01-01,Pahang,Ikan Kembung (small),Fish,15.195
2023-01-01,Pahang,Kangkung,Vegetables,4.861
2023-01-01,Perak,Beef Local (Part 1),Beef,37.124
2023-01-01,Perak,Chicken (Standard),Chicken,9.053
2023-01-01,Perak,Egg Grade A (10),Eggs,0.45
2023-01-01,Perak,Ikan Kembung (small),Fish,12.901
2023-01-01,Perak,Kangkung,Vegetables,5.326
2023-01-01,Perlis,Beef Local (Part 1),Beef,38.644
2023-01-01,Perlis,Chicken (Standard),Chicken,9.063
2023-01-01,Perlis,Egg Grade A (10),Eggs,0.45
2023-01-01,Perlis,Ikan Kembung (small),Fish,13.398
2023-01-01,Perlis,Kangkung,Vegetables,6.358
2023-01-01,Pulau Pinang,Beef Local (Part 1),Beef,40.273
2023-01-01,Pulau Pinang,Chicken (Standard),Chicken,9.125
2023-01-01,Pulau Pinang,Egg Grade A (10),Eggs,0.454
2023-01-01,Pulau Pinang,Ikan Kembung (small),Fish,11.887
2023-01-01,Pulau Pinang,Kangkung,Vegetables,5.007
2023-01-01,Sabah,Beef Local (Part 1),Beef,30.655
2023-01-01,Sabah,Chicken (Standard),Chicken,11.356
2023-01-01,Sabah,Egg Grade A (10),Eggs,0.51
2023-01-01,Sabah,Ikan Kembung (small),Fish,7.75
2023-01-01,Sabah,Kangkung,Vegetables,5.702
2023-01-01,Sarawak,Beef Local (Part 1),Beef,67.233
2023-01-01,Sarawak,Chicken (Standard),Chicken,9.937
2023-01-01,Sarawak,Egg Grade A (10),Eggs,1.409
2023-01-01,Sarawak,Ikan Kembung (small),Fish,12.25
2023-01-01,Sarawak,Kangkung,Vegetables,5.737
2023-01-01,Selangor,Beef Local (Part 1),Beef,39.794
2023-01-01,Selangor,Chicken (Standard),Chicken,9.038
2023-01-01,Selangor,Egg Grade A (10),Eggs,0.45
2023-01-01,Selangor,Ikan Kembung (small),Fish,15.751
2023-01-01,Selangor,Kangkung,Vegetables,5.135
2023-01-01,Terengganu,Beef Local (Part 1),Beef,35.759
2023-01-01,Terengganu,Chicken (Standard),Chicken,9.239
2023-01-01,Terengganu,Egg Grade A (10),Eggs,0.45
2023-01-01,Terengganu,Ikan Kembung (small),Fish,13.354
2023-01-01,Terengganu,Kangkung,Vegetables,8.653
2023-01-01,W.P. Kuala Lumpur,Beef Local (Part 1),Beef,47.933
2023-01-01,W.P. Kuala Lumpur,Chicken (Standard),Chicken,9.148
2023-01-01,W.P. Kuala Lumpur,Egg Grade A (10),Eggs,0.457
2023-01-01,W.P. Kuala Lumpur,Ikan Kembung (small),Fish,16.126
2023-01-01,W.P. Kuala Lumpur,Kangkung,Vegetables,5.367
2023-01-01,W.P. Labuan,Chicken (Standard),Chicken,11.3
2023-01-01,W.P. Labuan,Ikan Kembung (small),Fish,14.043
2023-01-01,W.P. Labuan,Kangkung,Vegetables,4.446
2023-01-01,W.P. Putrajaya,Beef Local (Part 1),Beef,39.0
2023-01-01,W.P. Putrajaya,Chicken (Standard),Chicken,9.093
2023-01-01,W.P. Putrajaya,Ikan Kembung (small),Fish,16.679
2023-01-01,W.P. Putrajaya,Kangkung,Vegetables,6.499
2023-06-01,Johor,Beef Local (Part 1),Beef,40.406
2023-06-01,Johor,Chicken (Standard),Chicken,9.309
2023-06-01,Johor,Egg Grade A (10),Eggs,0.446
2023-06-01,Johor,Ikan Kembung (small),Fish,14.819
2023-06-01,Johor,Kangkung,Vegetables,4.347
2023-06-01,Kedah,Beef Local (Part 1),Beef,39.255
2023-06-01,Kedah,Chicken (Standard),Chicken,9.336
2023-06-01,Kedah,Egg Grade A (10),Eggs,0.45
2023-06-01,Kedah,Ikan Kembung (small),Fish,12.584
2023-06-01,Kedah,Kangkung,Vegetables,4.791
2023-06-01,Kelantan,Beef Local (Part 1),Beef,33.325
2023-06-01,Kelantan,Chicken (Standard),Chicken,9.347
2023-06-01,Kelantan,Egg Grade A (10),Eggs,0.45
2023-06-01,Kelantan,Ikan Kembung (small),Fish,13.506
2023-06-01,Kelantan,Kangkung,Vegetables,6.51
2023-06-01,Melaka,Beef Local (Part 1),Beef,39.353
2023-06-01,Melaka,Chicken (Standard),Chicken,9.309
2023-06-01,Melaka,Egg Grade A (10),Eggs,0.45
2023-06-01,Melaka,Ikan Kembung (small),Fish,15.778
2023-06-01,Melaka,Kangkung,Vegetables,3.936
2023-06-01,Negeri Sembilan,Beef Local (Part 1),Beef,41.092
2023-06-01,Negeri Sembilan,Chicken (Standard),Chicken,9.288
2023-06-01,Negeri Sembilan,Egg Grade A (10),Eggs,0.449
2023-06-01,Negeri Sembilan,Ikan Kembung (small),Fish,14.25
2023-06-01,Negeri Sembilan,Kangkung,Vegetables,3.929
2023-06-01,Pahang,Beef Local (Part 1),Beef,38.263
2023-06-01,Pahang,Chicken (Standard),Chicken,9.356
2023-06-01,Pahang,Egg Grade A (10),Eggs,0.441
2023-06-01,Pahang,Ikan Kembung (small),Fish,16.322
2023-06-01,Pahang,Kangkung,Vegetables,3.976
2023-06-01,Perak,Beef Local (Part 1),Beef,37.482
2023-06-01,Perak,Chicken (Standard),Chicken,9.322
2023-06-01,Perak,Egg Grade A (10),Eggs,0.45
2023-06-01,Perak,Ikan Kembung (small),Fish,13.578
2023-06-01,Perak,Kangkung,Vegetables,4.401
2023-06-01,Perlis,Beef Local (Part 1),Beef,38.403
2023-06-01,Perlis,Chicken (Standard),Chicken,9.28
2023-06-01,Perlis,Egg Grade A (10),Eggs,0.45
2023-06-01,Perlis,Ikan Kembung (small),Fish,13.595
2023-06-01,Perlis,Kangkung,Vegetables,5.981
2023-06-01,Pulau Pinang,Beef Local (Part 1),Beef,40.782
2023-06-01,Pulau Pinang,Chicken (Standard),Chicken,9.309
2023-06-01,Pulau Pinang,Egg Grade A (10),Eggs,0.449
2023-06-01,Pulau Pinang,Ikan Kembung (small),Fish,12.125
2023-06-01,Pulau Pinang,Kangkung,Vegetables,4.671
2023-06-01,Sabah,Beef Local (Part 1),Beef,31.158
2023-06-01,Sabah,Chicken (Standard),Chicken,11.299
2023-06-01,Sabah,Egg Grade A (10),Eggs,0.51
2023-06-01,Sabah,Ikan Kembung (small),Fish,8.389
2023-06-01,Sabah,Kangkung,Vegetables,5.093
2023-06-01,Sarawak,Beef Local (Part 1),Beef,67.293
2023-06-01,Sarawak,Chicken (Standard),Chicken,10.228
2023-06-01,Sarawak,Ikan Kembung (small),Fish,11.043
2023-06-01,Sarawak,Kangkung,Vegetables,5.442
2023-06-01,Selangor,Beef Local (Part 1),Beef,39.91
2023-06-01,Selangor,Chicken (Standard),Chicken,9.321
2023-06-01,Selangor,Egg Grade A (10),Eggs,0.449
2023-06-01,Selangor,Ikan Kembung (small),Fish,16.042
2023-06-01,Selangor,Kangkung,Vegetables,4.434
2023-06-01,Terengganu,Beef Local (Part 1),Beef,36.054
2023-06-01,Terengganu,Chicken (Standard),Chicken,9.366
2023-06-01,Terengganu,Egg Grade A (10),Eggs,0.45
2023-06-01,Terengganu,Ikan Kembung (small),Fish,13.655
2023-06-01,Terengganu,Kangkung,Vegetables,5.58
2023-06-01,W.P. Kuala Lumpur,Beef Local (Part 1),Beef,50.426
2023-06-01,W.P. Kuala Lumpur,Chicken (Standard),Chicken,9.345
2023-06-01,W.P. Kuala Lumpur,Egg Grade A (10),Eggs,0.45
2023-06-01,W.P. Kuala Lumpur,Ikan Kembung (small),Fish,16.271
2023-06-01,W.P. Kuala Lumpur,Kangkung,Vegetables,4.374
2023-06-01,W.P. Labuan,Chicken (Standard),Chicken,11.3
2023-06-01,W.P. Labuan,Kangkung,Vegetables,5.023
2023-06-01,W.P. Putrajaya,Beef Local (Part 1),Beef,43.0
2023-06-01,W.P. Putrajaya,Chicken (Standard),Chicken,9.345
2023-06-01,W.P. Putrajaya,Egg Grade A (10),Eggs,0.42
2023-06-01,W.P. Putrajaya,Ikan Kembung (small),Fish,16.648
2023-06-01,W.P. Putrajaya,Kangkung,Vegetables,5.348
2023-12-01,Johor,Beef Local (Part 1),Beef,40.319
2023-12-01,Johor,Chicken (Standard),Chicken,8.653
2023-12-01,Johor,Egg Grade A (10),Eggs,0.446
2023-12-01,Johor,Ikan Kembung (small),Fish,14.959
2023-12-01,Johor,Kangkung,Vegetables,6.17
2023-12-01,Kedah,Beef Local (Part 1),Beef,39.244
2023-12-01,Kedah,Chicken (Standard),Chicken,9.124
2023-12-01,Kedah,Egg Grade A (10),Eggs,0.45
2023-12-01,Kedah,Ikan Kembung (small),Fish,13.176
2023-12-01,Kedah,Kangkung,Vegetables,4.819
2023-12-01,Kelantan,Beef Local (Part 1),Beef,33.303
2023-12-01,Kelantan,Chicken (Standard),Chicken,8.818
2023-12-01,Kelantan,Ikan Kembung (small),Fish,13.957
2023-12-01,Kelantan,Kangkung,Vegetables,7.432
2023-12-01,Melaka,Beef Local (Part 1),Beef,39.312
2023-12-01,Melaka,Chicken (Standard),Chicken,9.069
2023-12-01,Melaka,Egg Grade A (10),Eggs,0.45
2023-12-01,Melaka,Ikan Kembung (small),Fish,15.546
2023-12-01,Melaka,Kangkung,Vegetables,4.887
2023-12-01,Negeri Sembilan,Beef Local (Part 1),Beef,40.908
2023-12-01,Negeri Sembilan,Chicken (Standard),Chicken,8.924
